number,name
"HPD-284, Samoan",WARNING PERSON TO BE VIEWED IN LINEUP OF RIGHT TO HAVE AN ATTORNEY PRESENT (SAMOAN)
"HPD-284, Spanish",WARNING PERSON TO BE VIEWED IN LINEUP OF RIGHT TO HAVE AN ATTORNEY PRESENT (SPANISH)
"HPD-284, Tagalog",WARNING PERSON TO BE VIEWED IN LINEUP OF RIGHT TO HAVE AN ATTORNEY PRESENT (TAGALOG)
"HPD-284, Tongan",WARNING PERSON TO BE VIEWED IN LINEUP OF RIGHT TO HAVE AN ATTORNEY PRESENT (TONGAN)
"HPD-284, Vietnamese",WARNING PERSON TO BE VIEWED IN LINEUP OF RIGHT TO HAVE AN ATTORNEY PRESENT (VIETNAMESE)
HPD-284A,PHOTOGRAPHIC LINE-UP (CRS)
"HPD-284A, Chinese",PHOTOGRAPHIC LINE-UP (CHINESE)
"HPD-284A, Chuukese",PHOTOGRAPHIC LINE-UP (CHUUKESE)
"HPD-284A, Ilokano",PHOTOGRAPHIC LINE-UP (ILOKANO)
"HPD-284A, Japanese",PHOTOGRAPHIC LINE-UP (JAPANESE)
"HPD-284A, Korean",PHOTOGRAPHIC LINE-UP (KOREAN)
"HPD-284A, Laotian",PHOTOGRAPHIC LINE-UP (LAOTIAN)
"HPD-284A, Marshallese",PHOTOGRAPHIC LINE-UP (MARSHALLESE)
"HPD-284A, Samoan",PHOTOGRAPHIC LINE-UP (SAMOAN)
"HPD-284A, Spanish",PHOTOGRAPHIC LINE-UP (SPANISH)
"HPD-284A, Tagalog",PHOTOGRAPHIC LINE-UP (TAGALOG)
"HPD-284A, Tongan",PHOTOGRAPHIC LINE-UP (TONGAN)
"HPD-284A, Vietnamese",PHOTOGRAPHIC LINE-UP (VIETNAMESE)
HPD-284B,SEQUENTIAL PHOTOGRAPHIC  LINEUP (CRS)
HPD-284C,SEQUENTIAL PHOTOGRAPHIC LINEUP INSTRUCTIONS AND RESULTS (CRS)
HPD-284D,ALTERNATE SIMPLIFIED INSTRUCTIONS FOR SEQUENTIAL PHOTOGRAPHIC LINEUP 
HPD-284E1,PRELIMINARY STATEMENT - FIELD SHOWUP/LINEUP 
HPD-284E2,FIELD SHOWUP/LINEUP INSTRUCTIONS AND RESULTS
HPD-284F,FIELD SHOWUP/LINEUP WITNESS STATEMENT 
HPD-284G,PHYSICAL LINEUP (CRS)
HPD-285,"STRIKE POST
  REPORT"
HPD-287,DAILY EXPENSE VOUCHER
HPD-288,HOUSE MOVING - BUILDING RELOCATION
HPD-296,"EXCESS
  LODGING COST JUSTIFICATION"
HPD-306,NEIGHBORHOOD SECURITY WATCH
HPD-306A,COORDINATOR'S DUTIES
HPD-306B,CAPTAIN'S DUTIES
HPD-306C,WHAT TO DO FOR SECURITY WATCH MEMBERS
HPD-306D,SAFETY TIPS FOR DRIVERS
HPD-306E,NSW BLOCK AND CAPTAINS LIST
HPD-306F,NSW MEMBER LIST
HPD-308,CAD-EVENT CATEGORIZATION AND ACTIVITY CLASSIFICATION
HPD-310,REQUEST FOR POLICE SPECIAL ACCOUNT
HPD-316,ROUTING  SLIP
HPD-317,SHOPLIFTING  REPORT (CRS)
HPD-317A,SHOPLIFTING  REPORT - CONTINUATION PAGE (CRS)
HPD-323,"OVERTIME
  AND COMPENSATORY TIME EARNED REPORT"
HPD-323A,"OVERTIME
  AND COMPENSATORY TIME EARNED WEEKLY"
HPD-323B,"OVERTIME
  AND COMPENSATORY TIME EARNED DAILY"
HPD-324,"TEMPORARY
  ASSIGNMENT"
HPD-332,POLICE OFFICER INVOLVED IN MVA
HPD-332A,BUREAU  REVIEW OF MVC
HPD-334,OUTSIDE EMPLOYMENT- REQUEST
HPD-334A,"REAL
  ESTATE LICENSE DISCLOSURE"
HPD-345,DEFICIENT REPORT NOTICE
HPD-346,"EQUIPMENT
  AND VEHICLE INSPECTION"
HPD-346A,"CITY-OWNED
  VEHICLE INSPECTION"
HPD-346B,"SOLO
  MOTORCYCLE INSPECTION"
HPD-347,MEDICAL RETURN TO WORK (PHYSICIAN'S RELEASE)
HPD-347A,SUPERVISOR'S FOLLOW-UP REPORT OF SICK/INJURED EMPLOYEE
HPD-349,CHANGE OF STATUS
HPD-349A,POLICE EMPLOYEE DEPLOYMENT SYSTEM CREATION SHEET (PEDS)
HPD-349C,PARENT-TEACHER CONFERENCE REQUEST FOR LEAVE
HPD-350,"USE OF
  OFFICER'S PRIVATE VEHICLE FOR COVERT OPERATIONS"
HPD-351,"REQUISITION
  FOR PUBLICITY"
HPD-352,HPD ACAMS ACCESS REQUEST FORM
HPD-355A,CRIME INFORMATION BULLETIN
HPD-355B,CRIME  INFORMATION BULLETIN - OUTSIDE ASSIST
HPD-357,LEAVE WITHOUT PAY REQUEST
HPD-361A,UNSCHEDULED INSPECTION REPORT FORM
HPD-364,RESERVE OFFICER PROGRAM-MONTHLY WORKLOAD RECORD
HPD-364A,RESERVE OFFICER APPLICANT CHECK LIST
HPD-367,INTERNAL COMPLAINT FORM - EMPLOYEE
HPD-367A,CIVILIAN EMPLOYEE COMPLAINT
HPD-367B,INTERNAL INVESTIGATION
HPD-367C,PROFESSIONAL STANDARDS OFFICE WRITTEN COMPLAINT FORM (Statement Form)
"HPD-367C, Chinese",PROFESSIONAL STANDARDS OFFICE WRITTEN COMPLAINT FORM (STATEMENT FORM) (CHINESE)
"HPD-367C, Chuukese",PROFESSIONAL STANDARDS OFFICE WRITTEN COMPLAINT FORM (STATEMENT FORM) (CHUUKESE)
"HPD-367C, Ilokano",PROFESSIONAL STANDARDS OFFICE WRITTEN STATEMENT FORM (STATEMENT FORM) (ILOKANO)
"HPD-367C, Japanese",PROFESSIONAL STANDARDS OFFICE WRITTEN COMPLAINT FORM (STATEMENT FORM) (JAPANESE)
"HPD-367C, Korean",PROFESSIONAL STANDARDS OFFICE WRITTEN COMPLAINT FORM (STATEMENT FORM) (KOREAN)
"HPD-367C, Laotian",PROFESSIONAL STANDARDS OFFICE WRITTEN COMPLAINT FORM (STATEMENT FORM) (LAOTIAN)
"HPD-367C, Marshallese",PROFESSIONAL STANDARDS OFFICE WRITTEN COMPLAINT FORM (STATEMENT FORM) (MARSHALLESE)
